company,city,county,assigned_trade,needs_category_review,has_description,classification,email,website
Arrow Lift,Agoura Hills,Los Angeles,general-contractor,YES,yes,>$3 million to $6 million,joe.newstrom@arrowlift.com,https://arrowlift.com
"Arrowhead Mechanical, Inc.",San Bernardino,San Bernardino,hvac,,yes,>$3 million to $6 million,bids@arrowheadair.com,https://www.arrowheadair.com
Artifex Plumbing Systems Group,Grand Terrace,San Bernardino,plumbing,,no,$0 to $1 million,artifexconstruction18@gmail.com,https://www.artifexpsg.com
"Atkinson, Andelson, Loya, Ruud & Romo",Cerritos,Los Angeles,general-contractor,,yes,Associate,tlenz@aalrr.com,https://www.aalrr.com
"Atlas Mechanical, Inc.",San Diego,San Diego,hvac,,no,>$3 million to $6 million,sam@atlasmechanical.com,
Avram Electric,Mira Loma,Riverside,electrical,,no,>$1 million to $3 million,avramelectric@yahoo.com,
"B & B Plumbing, Inc.",Anaheim,Orange,plumbing,,yes,>$1 million to $3 million,brianjohn@bbplumbinginc.com,https://www.bbplumbinginc.com
Balfour Beatty,San Diego,San Diego,general-contractor,YES,no,Over $250 million,adelrio@balfourbeattyus.com,https://balfourbeattyus.com
"Barden Electric, Inc.",Torrance,Los Angeles,electrical,,yes,>$3 million to $6 million,steves@bardenelectric.com,https://www.bardenelectric.com
"BAS Plumbing, Inc.",Riverside,Riverside,plumbing,,no,>$3 million to $6 million,tom@bas-plumbing.com,https://www.bas-plumbing.com
"Beach City Electric, Inc.",Huntington Beach,Orange,electrical,,no,>$1 million to $3 million,info@beachcityelectric.com,https://www.beachcityelectric.com
Bergelectric Corp.,Carlsbad,San Diego,electrical,,no,>$20 million to $50 million,info@bergelectric.com,https://www.bergelectric.com
BJ Development,Newhall,Los Angeles,general-contractor,YES,no,$0 to $1 million,bjdevelopmentconstruction@gmail.com,
"Blackdog Electrical Systems, Inc.",Long Beach,Los Angeles,electrical,,no,>$1 million to $3 million,chris@blackdogelectricalsystems.com,https://www.blackdogelectricalsystems.com
Blue Point Electric,Menifee,Riverside,electrical,,no,$0 to $1 million,nrodriguez@bluepointelectric.com,
Blue Violet Networks,Fountain Valley,Orange,general-contractor,YES,yes,>$6 million to $10 million,dkim@blueviolet.net,https://www.bluevioletnetworks.com
"Bon Air, Inc.",Los Angeles,Los Angeles,general-contractor,YES,no,>$1 million to $3 million,brian@bonairinc.com,
"Bravi Electric, Inc.",La Habra,Orange,electrical,,no,>$1 million to $3 million,al@bravielectric.com,https://www.bravielectric.com
"Brett Wright Electric, Inc.",Riverside,Riverside,electrical,,no,>$1 million to $3 million,brett@bwelectriccorp.com,
"Brian Devries Construction, Inc.",Santa Ana,Orange,concrete-masonry,,yes,$0 to $1 million,rico@devriescon.com,https://www.devriescon.com
"Brudvik, Inc.",Palm Springs,Riverside,electrical,,yes,>$3 million to $6 million,briana@brudvikinc.com,https://www.brudvikelectric.com
"Brycoll, LLC",Yorba Linda,Orange,general-contractor,,yes,Industry Professional,ken@brycollllc.com,https://www.brycollllc.com
BTEC,Gardena,Los Angeles,general-contractor,YES,no,$0 to $1 million,tomtenney@msn.com,
"Budget Electrical Contractors, Inc.",Redlands,San Bernardino,electrical,,no,>$1 million to $3 million,dcreger@becelectric.com,https://www.becelectric.com
Building Resources,Glendora,Los Angeles,general-contractor,,no,>$20 million to $50 million,alatourelle@brco.com,
"Burtch Trucking, Inc.",Bakersfield,Kern,concrete-masonry,,yes,>$3 million to $6 million,accounting@burtchconstruction.com,https://www.burtchconstruction.com
"Buxcon Sheet Metal, Inc.",Santee,San Diego,general-contractor,YES,no,>$10 million to $20 million,gina@buxconsheetmetal.com,https://www.buxconsheetmetal.com
C & L Refrigeration Corporation,Fullerton,Orange,hvac,,yes,>$50 million to $100 million,ljaslove@clref.com,https://www.clrefrigeration.com
"Cal Pac Sheet Metal, Inc.",Santa Ana,Orange,roofing,,yes,>$1 million to $3 million,billing@calpacsheetmetal.com,https://www.calpacsheetmetal.com
Caliba Inc.,Stanton,Orange,general-contractor,YES,no,>$3 million to $6 million,adam@calibainc.com,https://www.calibaincorporation.com
California Boiler,Santa Ana,Orange,general-contractor,YES,no,>$20 million to $50 million,ganderson@californiaboiler.com,https://www.californiaboiler.com
"Campbell Contracting, Inc.",Yucaipa,San Bernardino,general-contractor,YES,no,>$1 million to $3 million,bcampbell@titanelectricus.com,https://www.titanelectricus.com
Case and Sons Construction,Anaheim,Orange,general-contractor,,no,>$1 million to $3 million,caseshop@caseandsons.com,
CBIZ CPAs,Costa Mesa,Orange,general-contractor,,yes,Associate,warren.hennagin@marcumllp.com,https://www.marcumllp.com
Cemas Inc.,Newhall,Los Angeles,general-contractor,,yes,>$1 million to $3 million,carlos@ornelaselectric.com,https://www.cemasinc.com
"Center Electric Services, Inc.",Riverside,Riverside,electrical,,no,>$1 million to $3 million,mike@centerelectric.net,https://www.centerelectric.net
"Centerpoint Communications, Inc.",Yorba Linda,Orange,general-contractor,YES,no,>$1 million to $3 million,jon@cpoint1.net,https://www.centerpointcommunications.com
Challenger Sheet Metal,Santee,San Diego,roofing,,yes,>$1 million to $3 million,bobby@challengersm.com,https://www.challengersm.com
"Champion Electric, Inc.",Riverside,Riverside,electrical,,yes,>$10 million to $20 million,estimating@championelec.com,https://www.championelec.com
Chase Electric Company,Chino,San Bernardino,electrical,,no,>$1 million to $3 million,chase@chaseec.com,https://www.chaseec.com
"Checkpoint Communications, Inc.",Huntington Beach,Orange,general-contractor,YES,yes,>$1 million to $3 million,jshoaff@ccomwire.com,https://www.checkpointcomm.com
"Christian Brothers Mechanical Services, Inc.",Jurupa Valley,Riverside,hvac,,yes,>$20 million to $50 million,don@cbhvac.com,https://www.cbhvac.com
"Circle City Electric, Inc.",Riverside,Riverside,electrical,,yes,>$10 million to $20 million,john.johnson@circlecityelectric.com,https://www.circlecityelectric.com
Coast Construction Group,Lancaster,Los Angeles,general-contractor,,no,>$1 million to $3 million,trevor@coast-group.com,https://www.coast-group.com
"Colonial Electric, Inc.",Chino,San Bernardino,electrical,,no,>$10 million to $20 million,garysr@colonialelectric.net,https://www.colonialelectric.net
Combs Company Plumbing,Yucaipa,San Bernardino,plumbing,,no,$0 to $1 million,hcombs1955@aol.com,
"Comfort & Hays Electric, Inc.",Upland,San Bernardino,electrical,,no,>$3 million to $6 million,mhays@comforthays.com,
"Consolidated Contracting Services, Inc.",San Clemente,Orange,general-contractor,,yes,>$50 million to $100 million,cveje@consolidatedcontracting.com,https://www.consolidatedcontracting.com
"Consolidated Mechanical Air Conditioning & Heating, Inc.",Pasadena,Los Angeles,hvac,,yes,$0 to $1 million,consolidmech@gmail.com,https://www.consolidatedmechanical.net
"Construction Electric, Inc.",Riverside,Riverside,electrical,,yes,>$3 million to $6 million,kc@constructionelectric.com,https://www.constructionelectric.com
"Continental Plumbing, Inc.",Jurupa Valley,Riverside,plumbing,,yes,>$1 million to $3 million,nathan.buckley@continentalplumbing.com,https://www.continentalplumbing.com
"Control Electric, Inc.",Corona,Riverside,electrical,,yes,>$1 million to $3 million,info.controlelectric.net,https://www.controlelectric.net
CORElectric Inc.,Santa Clarita,Los Angeles,electrical,,yes,,inquiry@corelectric.net,https://www.corelectric.net
"Cove Electric, Inc.",Palm Desert,Riverside,electrical,,no,>$3 million to $6 million,dbojkovsky@coveelectric.com,https://www.coveelectric.com
"Craig Mechanical, Inc.",Riverside,Riverside,plumbing,,yes,>$6 million to $10 million,frankc@craigmech.com,https://www.craigmech.com
"Crawford & Bangs, LLP",Covina,Los Angeles,general-contractor,,yes,Associate,ttate@builderslaw.com,https://www.builderslaw.com
"Crosby Plumbing, Inc.",Altadena,Los Angeles,plumbing,,no,$0 to $1 million,anthony@crosbyplumbing.net,
"CRP Plumbing Company, Inc.",Redlands,San Bernardino,plumbing,,yes,>$1 million to $3 million,chris@crpplumbing.com,https://www.crpplumbing.com
"Current Innovations Electric, Inc.",Long Beach,Los Angeles,electrical,,yes,$0 to $1 million,kmccormick@cie.contractors,https://www.currentinnovationselectric.com
Cusick Electric Inc.,Camarillo,Ventura,electrical,,no,>$1 million to $3 million,casey@cusickelectric.com,https://www.cusickelectric.com
"Cutler Power and Light, INC",Chino,San Bernardino,general-contractor,YES,no,$0 to $1 million,rcutler@cutlerpower.com,https://www.cutlerpower.com
Data Specialties Inc.,Buena Park,Orange,general-contractor,YES,no,>$3 million to $6 million,jon@webuilddatacenters.com,https://www.webuilddatacenters.com
"David Crowell Electric, Inc.",Irvine,Orange,electrical,,yes,>$3 million to $6 million,dave@davidcrowellelectric.com,https://www.davidcrowellelectric.com
Davitt Inc. Dba Electrical Solutions,Thousand Palms,Riverside,electrical,,no,$0 to $1 million,info@electricalsolutions4you.com,
"DCE Electric, Inc.",Valencia,Los Angeles,electrical,,yes,>$3 million to $6 million,kcoyle@dceelectric.com,
"Delta Wye Electric, Inc.",Anaheim,Orange,electrical,,yes,>$6 million to $10 million,ckasalek@deltawye.com,https://www.deltawye.com
Denver Industries,Van Nuys,Los Angeles,general-contractor,YES,no,$0 to $1 million,corina@denverinc.com,https://denverind.wixsite.com/denverindustries
DEWALT,Ontario,San Bernardino,general-contractor,,yes,Supplier,andres.perez@sbdinc.com,https://www.dewalt.com
"Digital Technologies, Inc.",Ontario,San Bernardino,general-contractor,YES,no,>$3 million to $6 million,dvillarreal@digitaltech.us.com,https://www.digitaltechnologies-inc.com
"DMG SC, Inc.",Orange,Orange,general-contractor,YES,no,>$1 million to $3 million,roman@zaretskyengineering.com,
Drain Vision,San Bernardino,San Bernardino,general-contractor,YES,no,$0 to $1 million,drainvision@gmail.com,https://www.drainvisionsewercamerainspections.com
"DSP Electrical Contractors, Inc.",Lake Elsinore,Riverside,electrical,,no,>$1 million to $3 million,sperkins@dspelectric.com,
Duo Electric,Riverside,Riverside,electrical,,no,$0 to $1 million,john@duo-electric.com,https://www.duo-electric.com
EA Technology Solutions,Irvine,Orange,general-contractor,YES,no,>$1 million to $3 million,darlene@eatechsolutions.com,https://www.eatechsolutions.com
Eaton Crouse Hinds-Eaton B-Line,San Diego,San Diego,general-contractor,YES,no,>$10 million to $20 million,pedrovilla@eaton.com,https://www.eaton.com
Eclipse Lighting & Electrical,Anaheim,Orange,electrical,,no,>$10 million to $20 million,miker@eclipselightingservices.com,https://www.eclipselightingservices.com
"Econolite Systems, Inc.",Anaheim,Orange,general-contractor,YES,yes,>$10 million to $20 million,cflores@econolite.com,https://www.econolite.com
El Karnak Construction Inc.,Covina,Los Angeles,general-contractor,,yes,$0 to $1 million,info@elkarnakconstruction.com,
"Electric Vehicle Infrastructures, Inc.",Upland,San Bernardino,electrical,,no,>$6 million to $10 million,asellers@evicharge.com,https://www.evicharge.com
"Electrical Junkies, Inc.",Lake Elsinore,Riverside,electrical,,no,$0 to $1 million,socalelectricaljunkies@outlook.com,
"Electrical Management Systems, Inc.",Placentia,Orange,electrical,,no,>$1 million to $3 million,info@electrical-ms.com,https://www.electrical-ms.com
"Electro Tec Electrical Contractors, Inc.",Corona,Riverside,electrical,,no,$0 to $1 million,rcosta@electrotecinc.com,
"Electromen, Inc.",Studio City,Los Angeles,general-contractor,YES,yes,$0 to $1 million,guzal@rbsolution.net,
"Elite Air Conditioning, Inc.",Norco,Riverside,hvac,,no,$0 to $1 million,nick@elitehvacinc.com,https://www.elitehvacinc.com
"Empyrean Plumbing, Inc.",Riverside,Riverside,plumbing,,no,>$10 million to $20 million,brooke@empyreanplumbing.com,https://www.empyreanplumbing.com
EOS Worldwide,Redondo Beach,Los Angeles,general-contractor,YES,no,Industry Professional,ben.kelley@eosworldwide.com,https://www.eosworldwide.com/ben-kelley
Erickson-Hall Construction Co.,Escondido,San Diego,general-contractor,,no,>$50 million to $100 million,rgonzalez@ericksonhall.com,https://www.ericksonhall.com
"ETC Building & Design, Inc.",San Diego,San Diego,general-contractor,,no,>$6 million to $10 million,me@etcusa.net,https://www.etcusa.net
"EV Infrastructure, LLC",Tustin,Orange,electrical,,yes,>$10 million to $20 million,achim@brytemove.com,https://www.evidb.com
Exclusive Energy & Electric,Corona,Riverside,electrical,,yes,>$1 million to $3 million,walterj@exclusive-ca.com,https://www.exclusive-ca.com
Exclusive Metal,Riverside,Riverside,general-contractor,YES,no,>$3 million to $6 million,albert@exclusivemetalinc.com,https://www.exclusivemetalinc.com
"Expedite Fire, Inc. dba Lindley Fire",Anaheim,Orange,general-contractor,YES,no,>$3 million to $6 million,karlene@lindleyfire.com,https://www.lindleyfire.com
"F.E.C. Electric, Inc.",Redlands,San Bernardino,electrical,,no,>$20 million to $50 million,ron@fec-electric.com,https://www.fec-electric.com
Facilities Protection Systems,Brea,Orange,general-contractor,YES,no,>$6 million to $10 million,jgerard@fpsys.com,https://www.fpsys.com
"Facility Builders & Erectors, Inc.",Anaheim,Orange,general-contractor,,yes,>$20 million to $50 million,kthomson@facilitybuilders.com,https://www.facilitybuilders.com
"Facility Solutions Group, Inc.",Irvine,Orange,electrical,,yes,>$6 million to $10 million,scott.novy@fsgi.com,https://www.fsgi.com
"Fairchild Plumbing & Mechanical, Inc.",Ontario,San Bernardino,plumbing,,no,>$1 million to $3 million,matt@fairchildplbg.com,
"Federal Technology Solutions, Inc.",Corona,Riverside,general-contractor,YES,yes,>$3 million to $6 million,sales@federalsales.com,https://www.federalsales.com
FedVet Construction,Temecula,Riverside,general-contractor,,no,>$10 million to $20 million,edgar@fedvet.com,
"First Call Electric, Inc.",Tehachapi,Kern,electrical,,yes,$0 to $1 million,firstcallelect@gmail.com,
"First Electric Systems, Inc.",Brea,Orange,electrical,,yes,>$1 million to $3 million,fesjason@gmail.com,
"Fischer, Inc.",San Bernardino,San Bernardino,general-contractor,YES,no,>$6 million to $10 million,mfischer@fischercompanies.com,
"Franklin Mechanical System, Inc.",Beaumont,Riverside,hvac,,no,>$1 million to $3 million,vinniefranklin@earthlink.net,
Frize Corporation,City of Industry,Los Angeles,general-contractor,YES,no,>$20 million to $50 million,jsfrize@frizecorp.com,https://www.frizecorp.com
Fullerton Electric Inc.,Fullerton,Orange,electrical,,no,>$1 million to $3 million,don@fullertonelectric.net,https://www.fullertonelectric.net
Future Energy,Van Nuys,Los Angeles,general-contractor,YES,no,>$10 million to $20 million,vince.sp@futureenergytoday.com,
"GA Technical Services, Inc.",Glendora,Los Angeles,electrical,,yes,$0 to $1 million,frank.cervantes@gatechservices.com,https://www.gatechservices.com
Gavina Plumbing Inc.,Santa Clarita,Los Angeles,plumbing,,no,>$3 million to $6 million,gavinaplumbing@aol.com,https://www.gavinaplumbing.net
"GBI Electric, Inc.",Palmdale,Los Angeles,electrical,,yes,>$1 million to $3 million,ggonzalez@gbielectric.com,https://www.gbielectric.com
"GDL Best Contractors, Inc.",Whittier,Los Angeles,general-contractor,,yes,>$1 million to $3 million,franklbqp@msn.com,
"George C. Hopkins Construction, Inc.",Glendale,Los Angeles,general-contractor,,yes,>$20 million to $50 million,ghopkins@hopkinsconstruction.com,https://www.hopkinsconstruction.com
GFI Construction,Valencia,Los Angeles,electrical,,yes,$0 to $1 million,julie@gfielectrical.com,https://www.gfielectrical.com
Global Diversified Voltage Services,Van Nuys,Los Angeles,electrical,,yes,$0 to $1 million,dcollins@gdvoltage.net,https://www.gdvoltage.com
"Global Fire Technologies, Inc.",Glendale,Los Angeles,general-contractor,YES,no,>$1 million to $3 million,gevorg@glofiretech.com,https://www.glofiretech.com
"GMPI, LLC",Pinon Hills,San Bernardino,general-contractor,YES,no,$0 to $1 million,jesus@gmpi-plumbing.com,https://www.gmpi-plumbing.com
"Go-Staff, Inc.",Anaheim,Orange,concrete-masonry,,yes,Associate,scott@go-staff.com,https://www.go-staff.com
"Good & Roberts, LLC",Carlsbad,San Diego,general-contractor,,yes,>$20 million to $50 million,tcornell@gnrgc.com,https://www.gnrgc.com
"Graybar Electric Co., Inc.",Diamond Bar,Los Angeles,electrical,,no,Supplier,jason.ghent@graybar.com,https://www.graybar.com
GRC Industrial,Anaheim,Orange,general-contractor,YES,no,$0 to $1 million,ryan@grcindustrial.com,
Green Convergence,Valencia,Los Angeles,roofing,,yes,$0 to $1 million,dj@greenconvergence.com,https://www.greenconvergence.com
Halo Electric Company Inc.,Orange,Orange,electrical,,no,$0 to $1 million,admin@haloelectriccompany.com,
Hansen’s Plumbing,Ventura,Ventura,plumbing,,no,,cary@hansensplumbing.com,
Hard Hat Marketing Co.,Santa Ana,Orange,general-contractor,,yes,Associate,nick@hardhatmarketingco.com,https://www.hardhatmarketingco.com
Helix Electric,Los Angeles,Los Angeles,electrical,,yes,>$20 million to $50 million,mmilne@helixelectric.com,https://www.helixelectric.com
"HelmCo Electric, Inc.",Irvine,Orange,electrical,,yes,>$3 million to $6 million,michael@helmcoelectric.com,https://www.helmcoelectric.com
"HPS Mechanical, Inc.",Bakersfield,Kern,plumbing,,yes,$0 to $1 million,sd@hpsmechanical.com,https://www.hpsmechanical.com
HR Plumbing Inc.,Oceanside,San Diego,plumbing,,yes,$0 to $1 million,hrp@hr-plumbing.com,https://www.hr-plumbing.com
Hydrotech Electric,Winchester,Riverside,electrical,,yes,>$1 million to $3 million,linda@hydrotechelectric.com,
"I.E. - Pacific, Inc.",Escondido,San Diego,general-contractor,,yes,>$10 million to $20 million,estimating@iepacific.com,https://www.iepacific.com
ICS Service,Riverside,Riverside,general-contractor,YES,yes,>$3 million to $6 million,j.abbasi@icsservice.net,https://www.icsservice.net
"IDEAL Industries, Inc.",North Tustin,Orange,electrical,,yes,Supplier,kristen.pentolino@idealindustries.com,https://www.idealind.com
Improved Plumbing Corporation,Lake Elsinore,Riverside,plumbing,,no,>$1 million to $3 million,s.molina@improvedplumbing.com,
Independent Electric Co.,Wildomar,Riverside,electrical,,no,>$1 million to $3 million,tyson@indeelectric.com,https://www.independentelectricco.com
Integrated Communications & Data,Glendora,Los Angeles,general-contractor,,yes,>$3 million to $6 million,fauten403@gmail.com,
"Integrated Energy Group, LLC",Fontana,San Bernardino,general-contractor,,yes,$0 to $1 million,jen.hisey@ieconstruction.com,https://www.ieconstruction.com
Integrity Electric,Anaheim,Orange,electrical,,no,$0 to $1 million,integrityelect@sbcglobal.net,https://www.integrityelec.com
"Interpipe Contracting, Inc.",Santee,San Diego,plumbing,,yes,>$3 million to $6 million,info@interpipecontracting.com,
"Inverter Technology, Inc.",Ventura,Ventura,general-contractor,YES,yes,>$1 million to $3 million,devin@invertertechnology.com,https://www.invertertechnology.com
"Iteris, Inc.",Santa Ana,Orange,general-contractor,YES,no,$0 to $1 million,jbergera@iteris.com,https://www.iteris.com
"ITX Construction/Consultants, Inc.",Costa Mesa,Orange,general-contractor,,yes,>$10 million to $20 million,eleanorm@itxconst.com,https://www.itxconstruction.com
IWire Electric,Corona,Riverside,electrical,,no,$0 to $1 million,winnie@iwiresocal.com,
J & A Plumbing LLC,Imperial,Imperial,plumbing,,no,>$1 million to $3 million,j.a_plumbing@hotmail.com,
J Perez Electrical,Santa Fe Springs,Los Angeles,electrical,,no,$0 to $1 million,josep@jpelectric2000.com,
"J. Miller Electric, Inc.",Hesperia,San Bernardino,electrical,,yes,>$1 million to $3 million,jmillerelectric@msn.com,https://www.jmillerelectric.net
"J.H. Bryant, Jr., Inc.",Gardena,Los Angeles,electrical,,yes,>$6 million to $10 million,johnb@jhbryant.com,https://www.jhbryant.com
JAM Corporation,Monrovia,Los Angeles,electrical,,yes,,lisa.brennan@jamfire.com,https://www.jamfire.com
JDC Contracting,La Habra,Orange,general-contractor,,yes,>$1 million to $3 million,info@jdccontracting.com,https://www.jdccontracting.com
JHS Tax & Consulting,Anaheim,Orange,general-contractor,,yes,Associate,ccleveland@jhstc.com,https://www.jhstc.com
"JLK Rosenberger, LLP",Irvine,Orange,general-contractor,,yes,Associate,dluna@jlkrllp.com,https://www.jlkrosenberger.com
"JPI Development Group, Inc.",Murrieta,Riverside,general-contractor,YES,no,>$6 million to $10 million,lillianh@jpidevelopment.com,
JPS Electric Inc.,Rialto,San Bernardino,electrical,,no,$0 to $1 million,john@jps-electric.com,https://www.jps-electric.com
"K&S Air Conditioning, Inc.",Orange,Orange,hvac,,yes,>$20 million to $50 million,steve@kandsair.com,https://www.kandsair.com
K. E. Rodgers Inc.,Redlands,San Bernardino,plumbing,,yes,$0 to $1 million,jskinnerkerinc@gmail.com,
"K.G.G. Electric, Inc.",Palmdale,Los Angeles,electrical,,yes,>$1 million to $3 million,kenny2@kggelectric.com,https://www.kggelectric.com
"K2 General Contractors, Inc.",Irvine,Orange,general-contractor,,yes,>$3 million to $6 million,kris@k2generalcontractors.com,https://www.k2generalcontractors.com
"KERCO, Inc.",Santa Fe Springs,Los Angeles,hvac,,yes,>$3 million to $6 million,james@kercoinc.com,https://www.kercoinc.com
Kerns Inc. A California Corporation,Hesperia,San Bernardino,general-contractor,YES,no,>$10 million to $20 million,colleen@kernscon.com,http://kernscon.com
"KT Industries, Inc.",Los Angeles,Los Angeles,general-contractor,YES,no,>$1 million to $3 million,susana@kti.la,https://www.ktiengineering.com
"Land Mark Electric, Inc.",Canoga Park,Los Angeles,electrical,,yes,,lsaitman@lmela.com,https://www.lmela.com
"Laser Electric, Inc.",Escondido,San Diego,electrical,,no,>$1 million to $3 million,emilyhartnett@laserelectric.com,https://www.laserelectric.com
"LCS Constructors, Inc.",Irvine,Orange,general-contractor,,yes,>$20 million to $50 million,eplosker@lcslab.com,https://www.lcslab.com
Lectrfi Inc.,Chula Vista,San Diego,electrical,,yes,>$1 million to $3 million,bobby@lectrfi.com,
"Leddy Power Systems, Inc.",Moorpark,Ventura,general-contractor,YES,no,>$1 million to $3 million,curt.leddy@leddypower.com,
Leverage Information Systems,Ontario,San Bernardino,general-contractor,YES,no,>$10 million to $20 million,terryw@leverageis.com,https://www.leverageis.com
Light & Power Inc.,Ventura,Ventura,electrical,,yes,>$1 million to $3 million,bruno@lightandpowerinc.com,https://www.lightandpowerinc.com
"Lighting Technology Services, Inc.",Santa Ana,Orange,general-contractor,YES,yes,>$3 million to $6 million,jdillard@ltspropertyservices.net,https://www.ltspropertyservices.net
"LightWerks Communication Systems, Inc.",Carson,Los Angeles,general-contractor,YES,yes,>$3 million to $6 million,driberi@lightwerks.com,https://www.lightwerks.com
"M-Tech Glass, Inc.",Moreno Valley,Riverside,general-contractor,YES,no,>$1 million to $3 million,info@mtechglass.com,
"M.R. Electrical, Inc.",Los Angeles,Los Angeles,electrical,,no,>$1 million to $3 million,mario@mrelectrical.org,https://www.mrcontractorca.com
M3 Mechanical,Anaheim,Orange,hvac,,yes,>$10 million to $20 million,tony@m3hvac.com,https://www.m3hvac.com
"MAC Electric, Inc.",Brea,Orange,electrical,,yes,>$3 million to $6 million,mcooper@macelectricinc.com,
Mack P & S Construction Inc.,Wildomar,Riverside,general-contractor,,yes,$0 to $1 million,mackconst@gmail.com,
Main Electric Supply,Santa Ana,Orange,electrical,,no,Supplier,dgermann@mainelectricsupply.com,
Mammoth Electric,Anaheim,Orange,electrical,,no,>$20 million to $50 million,gil@mammoth.com,
Marc Electric,Pico Rivera,Los Angeles,electrical,,no,>$1 million to $3 million,marcelectric4u@yahoo.com,
McKinley Elevator Corporation,Irvine,Orange,general-contractor,YES,yes,>$10 million to $20 million,kevin.rusin@mckinleyelevator.com,https://www.mckinleyelevator.com
"MEC, Inc.",Edwards Air Force Base,Kern,restoration-services,,yes,>$10 million to $20 million,dale@mec-inc.com,https://www.mec-inc.com
Medrara HVAC LLC,Diamond Bar,Los Angeles,hvac,,no,$0 to $1 million,medrarahvac@gmail.com,https://www.medrarahvac.com
